/Users/sarvesh.patil/Desktop/vision-resolve/.venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
2026-03-11 01:02:33,040 INFO __main__ — Starting Plivo docs scrape
2026-03-11 01:02:33,329 INFO __main__ — Collection 'support_docs' already exists — skipping creation
2026-03-11 01:02:33,345 INFO __main__ — Loaded 375 scraped pages from checkpoint
2026-03-11 01:02:33,345 INFO __main__ — Discovering docs URLs via BFS crawl from seed URLs...
2026-03-11 01:02:33,345 INFO __main__ — BFS complete — discovered 11 docs URLs
2026-03-11 01:02:33,345 INFO __main__ — Total docs URLs: 11 | Already scraped: 375 | To scrape: 0
2026-03-11 01:02:33,345 INFO __main__ — Scraping complete — 375 total chunks from 11 pages
2026-03-11 01:02:33,345 INFO __main__ — Embedding docs chunks...
2026-03-11 01:02:35,600 INFO httpx — HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-03-11 01:02:36,061 INFO ingestion.embedder — Dense embedded 100/375
2026-03-11 01:02:38,894 INFO httpx — HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-03-11 01:02:39,385 INFO ingestion.embedder — Dense embedded 200/375
2026-03-11 01:02:40,775 INFO httpx — HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-03-11 01:02:41,155 INFO ingestion.embedder — Dense embedded 300/375
2026-03-11 01:02:42,859 INFO httpx — HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-03-11 01:02:43,099 INFO ingestion.embedder — Dense embedded 375/375
2026-03-11 01:02:43,852 INFO ingestion.embedder — Sparse embedded 375 chunks
2026-03-11 01:02:43,852 INFO __main__ — Upserting to Qdrant support_docs collection...
2026-03-11 01:02:43,953 INFO __main__ — Upserted 50/375 docs chunks
2026-03-11 01:02:44,036 INFO __main__ — Upserted 100/375 docs chunks
2026-03-11 01:02:44,125 INFO __main__ — Upserted 150/375 docs chunks
2026-03-11 01:02:44,205 INFO __main__ — Upserted 200/375 docs chunks
2026-03-11 01:02:44,286 INFO __main__ — Upserted 250/375 docs chunks
2026-03-11 01:02:44,369 INFO __main__ — Upserted 300/375 docs chunks
2026-03-11 01:02:44,457 INFO __main__ — Upserted 350/375 docs chunks
2026-03-11 01:02:44,496 INFO __main__ — Upserted 375/375 docs chunks
2026-03-11 01:02:44,498 INFO __main__ — Docs ingestion complete!
